MPI_bcast 32 1048576
Run 1 time 0.019715071
Run 2 time 0.001265049
Run 3 time 0.001456022
Run 4 time 0.001310110
Run 5 time 0.001886845
Run 6 time 0.001219034
Run 7 time 0.001362085
Run 8 time 0.001177073
Run 9 time 0.001045942
Run 10 time 0.001407146
Run 11 time 0.001359940
Run 12 time 0.001263857
Run 13 time 0.001327991
Run 14 time 0.001214981
Run 15 time 0.001212835
Run 16 time 0.001184940
Run 17 time 0.001323938
Run 18 time 0.001424074
Run 19 time 0.001171112
Run 20 time 0.001132011
Run 21 time 0.001232147
Run 22 time 0.001180172
Run 23 time 0.001224041
Run 24 time 0.001214981
Run 25 time 0.001413107
Run 26 time 0.001341105
Run 27 time 0.001306057
Run 28 time 0.001413822
Run 29 time 0.001496077
Run 30 time 0.001212835
Run 31 time 0.002109051
Run 32 time 0.001299858
Run 33 time 0.001341105
Run 34 time 0.001523018
Run 35 time 0.001538992
Run 36 time 0.001435041
Run 37 time 0.001276016
Run 38 time 0.001361132
Run 39 time 0.001234055
Run 40 time 0.001800060
Run 41 time 0.001280069
Run 42 time 0.001203775
Run 43 time 0.002322912
Run 44 time 0.001163960
Run 45 time 0.001228094
Run 46 time 0.001176834
Run 47 time 0.001509905
Run 48 time 0.001173973
Run 49 time 0.002759218
Run 50 time 0.001219988
Run 51 time 0.001275063
Run 52 time 0.001121044
Run 53 time 0.001107931
Run 54 time 0.000985146
Run 55 time 0.001091957
Run 56 time 0.001128912
Run 57 time 0.001118898
Run 58 time 0.001204014
Run 59 time 0.001144171
Run 60 time 0.001043081
Run 61 time 0.001171827
Run 62 time 0.001038074
Run 63 time 0.001104116
Run 64 time 0.001241922
Run 65 time 0.001553059
Run 66 time 0.001404047
Run 67 time 0.001013041
Run 68 time 0.001724958
Run 69 time 0.001086950
Run 70 time 0.001039028
Run 71 time 0.001125813
Run 72 time 0.001074076
Run 73 time 0.001080036
Run 74 time 0.001104116
Run 75 time 0.001118898
Run 76 time 0.001034021
Run 77 time 0.001096964
Run 78 time 0.001014948
Run 79 time 0.001111984
Run 80 time 0.001181841
Run 81 time 0.001162052
Run 82 time 0.001126051
Run 83 time 0.001252174
Run 84 time 0.001059055
Run 85 time 0.001083136
Run 86 time 0.001221180
Run 87 time 0.001071930
Run 88 time 0.000987053
Run 89 time 0.001029015
Run 90 time 0.001014948
Run 91 time 0.001055002
Run 92 time 0.001234055
Run 93 time 0.001070976
Run 94 time 0.001075029
Run 95 time 0.001044989
Run 96 time 0.001034021
Run 97 time 0.001049995
Run 98 time 0.000952959
Run 99 time 0.001034975
Run 100 time 0.001067162
2TreeComplete_bcast 32 1048576 8
Run 1 time 0.020521164
Run 2 time 0.000545979
Run 3 time 0.000767946
Run 4 time 0.000537157
Run 5 time 0.000465870
Run 6 time 0.000443220
Run 7 time 0.000541925
Run 8 time 0.000530005
Run 9 time 0.000518084
Run 10 time 0.000575066
Run 11 time 0.000483036
Run 12 time 0.000543118
Run 13 time 0.000509024
Run 14 time 0.000620127
Run 15 time 0.001175880
Run 16 time 0.000510216
Run 17 time 0.000874996
Run 18 time 0.001101017
Run 19 time 0.000545025
Run 20 time 0.000926971
Run 21 time 0.000541925
Run 22 time 0.000552177
Run 23 time 0.000580072
Run 24 time 0.001407146
Run 25 time 0.000689983
Run 26 time 0.000515938
Run 27 time 0.000486135
Run 28 time 0.000533819
Run 29 time 0.000488043
Run 30 time 0.000460863
Run 31 time 0.000710011
Run 32 time 0.000523090
Run 33 time 0.000520945
Run 34 time 0.000469208
Run 35 time 0.000473022
Run 36 time 0.000523090
Run 37 time 0.000540972
Run 38 time 0.000568867
Run 39 time 0.000507116
Run 40 time 0.000604868
Run 41 time 0.000480890
Run 42 time 0.000545979
Run 43 time 0.000530005
Run 44 time 0.000626087
Run 45 time 0.000558138
Run 46 time 0.000748158
Run 47 time 0.000520945
Run 48 time 0.000549078
Run 49 time 0.000552893
Run 50 time 0.000741005
Run 51 time 0.000550985
Run 52 time 0.000831842
Run 53 time 0.000629902
Run 54 time 0.000728130
Run 55 time 0.000736952
Run 56 time 0.000696182
Run 57 time 0.000626087
Run 58 time 0.000805140
Run 59 time 0.000792980
Run 60 time 0.000690937
Run 61 time 0.000679970
Run 62 time 0.000864029
Run 63 time 0.001016140
Run 64 time 0.000823021
Run 65 time 0.000798941
Run 66 time 0.000729084
Run 67 time 0.000846148
Run 68 time 0.000720024
Run 69 time 0.001071930
Run 70 time 0.000829935
Run 71 time 0.000802040
Run 72 time 0.000931978
Run 73 time 0.000828028
Run 74 time 0.000877857
Run 75 time 0.000672102
Run 76 time 0.000669956
Run 77 time 0.000783205
Run 78 time 0.000751019
Run 79 time 0.000721931
Run 80 time 0.000757933
Run 81 time 0.000746012
Run 82 time 0.000706911
Run 83 time 0.000752926
Run 84 time 0.000883102
Run 85 time 0.000986099
Run 86 time 0.000762939
Run 87 time 0.000689983
Run 88 time 0.000741959
Run 89 time 0.000790834
Run 90 time 0.000720024
Run 91 time 0.000840187
Run 92 time 0.000764847
Run 93 time 0.001007795
Run 94 time 0.001024961
Run 95 time 0.000737906
Run 96 time 0.001031876
Run 97 time 0.000955105
Run 98 time 0.000905037
Run 99 time 0.000876904
Run 100 time 0.000746965
2TreeComplete_bcast2 32 1048576 13
Run 1 time 0.019078016
Run 2 time 0.000813007
Run 3 time 0.000844955
Run 4 time 0.000979185
Run 5 time 0.001060009
Run 6 time 0.000809908
Run 7 time 0.000788927
Run 8 time 0.000624895
Run 9 time 0.000769138
Run 10 time 0.000869989
Run 11 time 0.000868082
Run 12 time 0.000838041
Run 13 time 0.000853777
Run 14 time 0.000844002
Run 15 time 0.000794888
Run 16 time 0.000796080
Run 17 time 0.000876904
Run 18 time 0.001464128
Run 19 time 0.000750065
Run 20 time 0.000692129
Run 21 time 0.001168966
Run 22 time 0.001101017
Run 23 time 0.001070976
Run 24 time 0.000936985
Run 25 time 0.000946999
Run 26 time 0.000753880
Run 27 time 0.001134157
Run 28 time 0.000614166
Run 29 time 0.000865221
Run 30 time 0.000643969
Run 31 time 0.000695944
Run 32 time 0.000668049
Run 33 time 0.000732183
Run 34 time 0.000672817
Run 35 time 0.000971079
Run 36 time 0.001125097
Run 37 time 0.000733852
Run 38 time 0.000710011
Run 39 time 0.000674009
Run 40 time 0.000843048
Run 41 time 0.000826120
Run 42 time 0.000774860
Run 43 time 0.000731945
Run 44 time 0.000890017
Run 45 time 0.000690937
Run 46 time 0.000686169
Run 47 time 0.000612020
Run 48 time 0.000699043
Run 49 time 0.000592947
Run 50 time 0.000514984
Run 51 time 0.000500917
Run 52 time 0.000525951
Run 53 time 0.000519037
Run 54 time 0.000559092
Run 55 time 0.000550032
Run 56 time 0.000600100
Run 57 time 0.000628948
Run 58 time 0.000795126
Run 59 time 0.000972033
Run 60 time 0.000713110
Run 61 time 0.000669956
Run 62 time 0.000787973
Run 63 time 0.000756979
Run 64 time 0.001271963
Run 65 time 0.001906872
Run 66 time 0.001662016
Run 67 time 0.000854015
Run 68 time 0.000787020
Run 69 time 0.000871897
Run 70 time 0.001000881
Run 71 time 0.001152992
Run 72 time 0.000869989
Run 73 time 0.000732899
Run 74 time 0.001053095
Run 75 time 0.001263142
Run 76 time 0.001025915
Run 77 time 0.001171112
Run 78 time 0.001104116
Run 79 time 0.000946045
Run 80 time 0.000710964
Run 81 time 0.000693083
Run 82 time 0.000678062
Run 83 time 0.000875235
Run 84 time 0.000886917
Run 85 time 0.000857115
Run 86 time 0.000676870
Run 87 time 0.001615047
Run 88 time 0.001016140
Run 89 time 0.000622034
Run 90 time 0.001074076
Run 91 time 0.000890017
Run 92 time 0.000753164
Run 93 time 0.000684977
Run 94 time 0.000796795
Run 95 time 0.000918150
Run 96 time 0.000916004
Run 97 time 0.000819921
Run 98 time 0.001123190
Run 99 time 0.001631021
Run 100 time 0.001648903
2TreeSandersBottom_bcast 32 1048576 9
Tree Construction time = 0.003411055
Tree Coloring time = 0.002693176
Run 1 time 0.054033041
Run 2 time 0.000887156
Run 3 time 0.001066923
Run 4 time 0.001701117
Run 5 time 0.001047850
Run 6 time 0.001391888
Run 7 time 0.001363039
Run 8 time 0.001398087
Run 9 time 0.002909899
Run 10 time 0.001492977
Run 11 time 0.001088142
Run 12 time 0.002233982
Run 13 time 0.002650023
Run 14 time 0.002403021
Run 15 time 0.002478123
Run 16 time 0.002918005
Run 17 time 0.001825809
Run 18 time 0.001044989
Run 19 time 0.001246929
Run 20 time 0.000976086
Run 21 time 0.001224995
Run 22 time 0.001576900
Run 23 time 0.001636028
Run 24 time 0.002563000
Run 25 time 0.001249075
Run 26 time 0.001361132
Run 27 time 0.001577854
Run 28 time 0.003280878
Run 29 time 0.001305103
Run 30 time 0.002642155
Run 31 time 0.001590967
Run 32 time 0.001662016
Run 33 time 0.002620935
Run 34 time 0.003002882
Run 35 time 0.003523111
Run 36 time 0.004059076
Run 37 time 0.002619982
Run 38 time 0.000782967
Run 39 time 0.001148939
Run 40 time 0.001655102
Run 41 time 0.001791000
Run 42 time 0.001958847
Run 43 time 0.000739098
Run 44 time 0.001347065
Run 45 time 0.001100063
Run 46 time 0.001441002
Run 47 time 0.001377821
Run 48 time 0.001316071
Run 49 time 0.000882864
Run 50 time 0.000915051
Run 51 time 0.000753880
Run 52 time 0.000561953
Run 53 time 0.000788927
Run 54 time 0.000586987
Run 55 time 0.000707865
Run 56 time 0.000488043
Run 57 time 0.000676155
Run 58 time 0.000666142
Run 59 time 0.001030922
Run 60 time 0.000693083
Run 61 time 0.000884056
Run 62 time 0.002592087
Run 63 time 0.003655910
Run 64 time 0.003024101
Run 65 time 0.001068830
Run 66 time 0.001343012
Run 67 time 0.001398087
Run 68 time 0.003720999
Run 69 time 0.004076958
Run 70 time 0.002030134
Run 71 time 0.001125813
Run 72 time 0.001126051
Run 73 time 0.000862837
Run 74 time 0.003747940
Run 75 time 0.002211094
Run 76 time 0.001254082
Run 77 time 0.001310825
Run 78 time 0.002172947
Run 79 time 0.001348019
Run 80 time 0.002577066
Run 81 time 0.001590967
Run 82 time 0.001303196
Run 83 time 0.001224041
Run 84 time 0.002398968
Run 85 time 0.001065969
Run 86 time 0.001446009
Run 87 time 0.001262188
Run 88 time 0.001065969
Run 89 time 0.001029968
Run 90 time 0.001241922
Run 91 time 0.001140833
Run 92 time 0.000807047
Run 93 time 0.001722097
Run 94 time 0.001342058
Run 95 time 0.001379967
Run 96 time 0.002465010
Run 97 time 0.001647949
Run 98 time 0.000910044
Run 99 time 0.000848055
Run 100 time 0.001322031
2TreeSandersBottom_bcast2 32 1048576 13
Tree Construction time = 0.001779079
Tree Coloring time = 0.000891209
Run 1 time 0.043892860
Run 2 time 0.001824856
Run 3 time 0.001117945
Run 4 time 0.001754045
Run 5 time 0.001317978
Run 6 time 0.001641989
Run 7 time 0.003646135
Run 8 time 0.004558086
Run 9 time 0.003787994
Run 10 time 0.003623962
Run 11 time 0.004309893
Run 12 time 0.001468897
Run 13 time 0.001282930
Run 14 time 0.003536940
Run 15 time 0.001831055
Run 16 time 0.003511906
Run 17 time 0.001048088
Run 18 time 0.001136065
Run 19 time 0.000757933
Run 20 time 0.001024961
Run 21 time 0.000908136
Run 22 time 0.000797033
Run 23 time 0.001744986
Run 24 time 0.001286983
Run 25 time 0.001131058
Run 26 time 0.001159906
Run 27 time 0.001712084
Run 28 time 0.001321077
Run 29 time 0.001667976
Run 30 time 0.004478216
Run 31 time 0.002253056
Run 32 time 0.001291037
Run 33 time 0.002500057
Run 34 time 0.001789093
Run 35 time 0.004943132
Run 36 time 0.003572941
Run 37 time 0.002039909
Run 38 time 0.001440048
Run 39 time 0.003210068
Run 40 time 0.003396034
Run 41 time 0.001995087
Run 42 time 0.001661062
Run 43 time 0.002135038
Run 44 time 0.001348972
Run 45 time 0.001802206
Run 46 time 0.001640081
Run 47 time 0.001541853
Run 48 time 0.001262903
Run 49 time 0.001459837
Run 50 time 0.001239061
Run 51 time 0.001337051
Run 52 time 0.001010895
Run 53 time 0.001296997
Run 54 time 0.001121998
Run 55 time 0.001944065
Run 56 time 0.001197100
Run 57 time 0.001338005
Run 58 time 0.001147985
Run 59 time 0.001169920
Run 60 time 0.001006126
Run 61 time 0.001229048
Run 62 time 0.001107931
Run 63 time 0.001122952
Run 64 time 0.001369953
Run 65 time 0.000633001
Run 66 time 0.002327919
Run 67 time 0.002690077
Run 68 time 0.000781059
Run 69 time 0.001848936
Run 70 time 0.001541138
Run 71 time 0.001670122
Run 72 time 0.001222849
Run 73 time 0.001280069
Run 74 time 0.000934839
Run 75 time 0.001039028
Run 76 time 0.001183987
Run 77 time 0.001202822
Run 78 time 0.001832008
Run 79 time 0.000860929
Run 80 time 0.001323938
Run 81 time 0.001465082
Run 82 time 0.001441002
Run 83 time 0.001601934
Run 84 time 0.001368999
Run 85 time 0.001924038
Run 86 time 0.001353979
Run 87 time 0.001154184
Run 88 time 0.001399994
Run 89 time 0.001808882
Run 90 time 0.002892971
Run 91 time 0.004307985
Run 92 time 0.001976967
Run 93 time 0.002655029
Run 94 time 0.001227140
Run 95 time 0.002826929
Run 96 time 0.002432823
Run 97 time 0.001092196
Run 98 time 0.001028061
Run 99 time 0.000813007
Run 100 time 0.001030922
2TreeSandersBottomUnsync_bcast 32 1048576 9
Run 1 time 0.044029951
Run 2 time 0.000864983
Run 3 time 0.001353979
Run 4 time 0.001265764
Run 5 time 0.001697063
Run 6 time 0.001538038
Run 7 time 0.000921965
Run 8 time 0.000634909
Run 9 time 0.000634909
Run 10 time 0.000746012
Run 11 time 0.001083851
Run 12 time 0.000860929
Run 13 time 0.001824856
Run 14 time 0.002182961
Run 15 time 0.001741886
Run 16 time 0.001306057
Run 17 time 0.001801968
Run 18 time 0.001270771
Run 19 time 0.000956059
Run 20 time 0.000876904
Run 21 time 0.000982046
Run 22 time 0.000787020
Run 23 time 0.000884056
Run 24 time 0.001069069
Run 25 time 0.001107931
Run 26 time 0.000827074
Run 27 time 0.000933170
Run 28 time 0.000712156
Run 29 time 0.000815868
Run 30 time 0.000782013
Run 31 time 0.001008987
Run 32 time 0.000595093
Run 33 time 0.000819921
Run 34 time 0.000763893
Run 35 time 0.000633955
Run 36 time 0.000609875
Run 37 time 0.000741959
Run 38 time 0.000729084
Run 39 time 0.000807047
Run 40 time 0.000547171
Run 41 time 0.000554800
Run 42 time 0.000967026
Run 43 time 0.000616074
Run 44 time 0.000572920
Run 45 time 0.000651121
Run 46 time 0.000749111
Run 47 time 0.001472950
Run 48 time 0.000541925
