MPI_bcast 32 5242880
Run 1 time 0.222471952
Run 2 time 0.004401207
Run 3 time 0.004768848
Run 4 time 0.004771948
Run 5 time 0.004383802
Run 6 time 0.004500866
Run 7 time 0.004725933
Run 8 time 0.004449129
Run 9 time 0.004380941
Run 10 time 0.004388094
Run 11 time 0.004504919
Run 12 time 0.004387140
Run 13 time 0.004382849
Run 14 time 0.004402876
Run 15 time 0.004381180
Run 16 time 0.004612923
Run 17 time 0.004615068
Run 18 time 0.004426003
Run 19 time 0.004745960
Run 20 time 0.004655838
Run 21 time 0.004617214
Run 22 time 0.004595995
Run 23 time 0.004374981
Run 24 time 0.004914999
Run 25 time 0.004940033
Run 26 time 0.004881859
Run 27 time 0.004436016
Run 28 time 0.004379988
Run 29 time 0.004382133
Run 30 time 0.004371881
Run 31 time 0.004698992
Run 32 time 0.004764080
Run 33 time 0.004384995
Run 34 time 0.004401207
Run 35 time 0.004943132
Run 36 time 0.004531145
Run 37 time 0.004965067
Run 38 time 0.004513025
Run 39 time 0.004892111
Run 40 time 0.004622936
Run 41 time 0.004799843
Run 42 time 0.004384995
Run 43 time 0.004382849
Run 44 time 0.004841089
Run 45 time 0.004627943
Run 46 time 0.004405022
Run 47 time 0.004381180
Run 48 time 0.004632950
Run 49 time 0.004744053
Run 50 time 0.004382133
Run 51 time 0.004538059
Run 52 time 0.004856110
Run 53 time 0.004548788
Run 54 time 0.004381895
Run 55 time 0.004451990
Run 56 time 0.004686832
Run 57 time 0.004487038
Run 58 time 0.004383087
Run 59 time 0.004718065
Run 60 time 0.004906893
Run 61 time 0.004386187
Run 62 time 0.004385948
Run 63 time 0.004758120
Run 64 time 0.004604816
Run 65 time 0.004499912
Run 66 time 0.004381180
Run 67 time 0.004957914
Run 68 time 0.004468918
Run 69 time 0.004383087
Run 70 time 0.004384041
Run 71 time 0.004745960
Run 72 time 0.004612923
Run 73 time 0.004489183
Run 74 time 0.004486084
Run 75 time 0.004382849
Run 76 time 0.004503965
Run 77 time 0.004382133
Run 78 time 0.004487991
Run 79 time 0.004380941
Run 80 time 0.004384995
Run 81 time 0.004384995
Run 82 time 0.004531860
Run 83 time 0.004380941
Run 84 time 0.004876137
Run 85 time 0.004646063
Run 86 time 0.005645990
Run 87 time 0.004920959
Run 88 time 0.004382133
Run 89 time 0.004432201
Run 90 time 0.004686117
Run 91 time 0.005079985
Run 92 time 0.004383087
Run 93 time 0.004736900
Run 94 time 0.004720926
Run 95 time 0.004492044
Run 96 time 0.004413128
Run 97 time 0.004770994
Run 98 time 0.004821062
Run 99 time 0.005248070
Run 100 time 0.005069017
2TreeComplete_bcast 32 5242880 20
Run 1 time 0.050103903
Run 2 time 0.001553059
Run 3 time 0.001510859
Run 4 time 0.002346992
Run 5 time 0.004369020
Run 6 time 0.008652925
Run 7 time 0.004995108
Run 8 time 0.001912117
Run 9 time 0.001564026
Run 10 time 0.001622200
Run 11 time 0.001560926
Run 12 time 0.001543999
Run 13 time 0.001543999
Run 14 time 0.001544952
Run 15 time 0.001561165
Run 16 time 0.001590014
Run 17 time 0.001561880
Run 18 time 0.001512051
Run 19 time 0.001533985
Run 20 time 0.001553774
Run 21 time 0.001480103
Run 22 time 0.001687050
Run 23 time 0.001531124
Run 24 time 0.001586914
Run 25 time 0.001579046
Run 26 time 0.001586199
Run 27 time 0.001511812
Run 28 time 0.002154112
Run 29 time 0.002074003
Run 30 time 0.002621174
Run 31 time 0.001956940
Run 32 time 0.002098083
Run 33 time 0.001610041
Run 34 time 0.001882076
Run 35 time 0.001600027
Run 36 time 0.001590967
Run 37 time 0.004700899
Run 38 time 0.001496077
Run 39 time 0.001908064
Run 40 time 0.001621962
Run 41 time 0.001627922
Run 42 time 0.001749992
Run 43 time 0.001549006
Run 44 time 0.001546860
Run 45 time 0.001733065
Run 46 time 0.001702070
Run 47 time 0.001559973
Run 48 time 0.002040148
Run 49 time 0.002176046
Run 50 time 0.002520084
Run 51 time 0.002875090
Run 52 time 0.001946211
Run 53 time 0.002033949
Run 54 time 0.001659155
Run 55 time 0.001852036
Run 56 time 0.001562119
Run 57 time 0.001573801
Run 58 time 0.001535177
Run 59 time 0.001534939
Run 60 time 0.001528978
Run 61 time 0.001509905
Run 62 time 0.001624107
Run 63 time 0.001559019
Run 64 time 0.001597881
Run 65 time 0.001513004
Run 66 time 0.001574039
Run 67 time 0.001504183
Run 68 time 0.001519203
Run 69 time 0.001611948
Run 70 time 0.001580954
Run 71 time 0.001534939
Run 72 time 0.002066135
Run 73 time 0.002490997
Run 74 time 0.002188921
Run 75 time 0.002069950
Run 76 time 0.002436161
Run 77 time 0.002033949
Run 78 time 0.001603127
Run 79 time 0.001539946
Run 80 time 0.001629114
Run 81 time 0.001616001
Run 82 time 0.001556158
Run 83 time 0.001584053
Run 84 time 0.001565218
Run 85 time 0.001539946
Run 86 time 0.001580954
Run 87 time 0.001594067
Run 88 time 0.001693010
Run 89 time 0.001650810
Run 90 time 0.001544952
Run 91 time 0.001526117
Run 92 time 0.001566172
Run 93 time 0.001715899
Run 94 time 0.001837969
Run 95 time 0.002447128
Run 96 time 0.002553940
Run 97 time 0.002583981
Run 98 time 0.002753973
Run 99 time 0.002634048
Run 100 time 0.002171993
2TreeComplete_bcast2 32 5242880 34
Run 1 time 0.039462805
Run 2 time 0.002036810
Run 3 time 0.002130032
Run 4 time 0.002100945
Run 5 time 0.002111912
Run 6 time 0.002084970
Run 7 time 0.001966000
Run 8 time 0.002460003
Run 9 time 0.002164125
Run 10 time 0.002238035
Run 11 time 0.002580881
Run 12 time 0.002722979
Run 13 time 0.002933025
Run 14 time 0.002990961
Run 15 time 0.002205133
Run 16 time 0.002017975
Run 17 time 0.001981974
Run 18 time 0.002511024
Run 19 time 0.002023935
Run 20 time 0.002020121
Run 21 time 0.002497196
Run 22 time 0.002170801
Run 23 time 0.002190113
Run 24 time 0.001950026
Run 25 time 0.001962900
Run 26 time 0.002057076
Run 27 time 0.002200842
Run 28 time 0.002156973
Run 29 time 0.001962900
Run 30 time 0.002000093
Run 31 time 0.002405882
Run 32 time 0.002262115
Run 33 time 0.002429008
Run 34 time 0.002511024
Run 35 time 0.003255844
Run 36 time 0.003054142
Run 37 time 0.002842903
Run 38 time 0.002501965
Run 39 time 0.002002001
Run 40 time 0.002213001
Run 41 time 0.001999855
Run 42 time 0.003162861
Run 43 time 0.002651930
Run 44 time 0.003168106
Run 45 time 0.002584934
Run 46 time 0.001905918
Run 47 time 0.001713037
Run 48 time 0.001796961
Run 49 time 0.001837015
Run 50 time 0.002826929
Run 51 time 0.003261805
Run 52 time 0.004391193
Run 53 time 0.002148151
Run 54 time 0.002275944
Run 55 time 0.001925945
Run 56 time 0.001832008
Run 57 time 0.001693964
Run 58 time 0.001821041
Run 59 time 0.002149820
Run 60 time 0.002048016
Run 61 time 0.001839876
Run 62 time 0.001839161
Run 63 time 0.001975060
Run 64 time 0.001679897
Run 65 time 0.002127886
Run 66 time 0.001875162
Run 67 time 0.001896858
Run 68 time 0.002032042
Run 69 time 0.001801968
Run 70 time 0.001978159
Run 71 time 0.001913071
Run 72 time 0.001899004
Run 73 time 0.002008200
Run 74 time 0.003355026
Run 75 time 0.003205061
Run 76 time 0.002730131
Run 77 time 0.001986027
Run 78 time 0.001737833
Run 79 time 0.002471924
Run 80 time 0.002249956
Run 81 time 0.001747847
Run 82 time 0.001896143
Run 83 time 0.001724005
Run 84 time 0.001845121
Run 85 time 0.001820803
Run 86 time 0.001919031
Run 87 time 0.003082991
Run 88 time 0.002427101
Run 89 time 0.002624989
Run 90 time 0.001996994
Run 91 time 0.002489090
Run 92 time 0.001775026
Run 93 time 0.003532887
Run 94 time 0.003571987
Run 95 time 0.002301931
Run 96 time 0.002128124
Run 97 time 0.002487898
Run 98 time 0.001873016
Run 99 time 0.001888037
Run 100 time 0.002910852
2TreeSandersBottom_bcast 32 5242880 20
Tree Construction time = 0.001240969
Tree Coloring time = 0.001291990
Run 1 time 0.138102055
Run 2 time 0.001479864
Run 3 time 0.001794815
Run 4 time 0.001719952
Run 5 time 0.001646042
Run 6 time 0.001541138
Run 7 time 0.001487970
Run 8 time 0.001792908
Run 9 time 0.001734972
Run 10 time 0.001692057
Run 11 time 0.001734972
Run 12 time 0.001534939
Run 13 time 0.001760960
Run 14 time 0.001604080
Run 15 time 0.001515865
Run 16 time 0.002957821
Run 17 time 0.002579927
Run 18 time 0.001477003
Run 19 time 0.001493931
Run 20 time 0.001482010
Run 21 time 0.001441002
Run 22 time 0.001479864
Run 23 time 0.001495123
Run 24 time 0.001460075
Run 25 time 0.001455069
Run 26 time 0.001467943
Run 27 time 0.001435995
Run 28 time 0.001519918
Run 29 time 0.001533031
Run 30 time 0.001428843
Run 31 time 0.001449108
Run 32 time 0.001492023
Run 33 time 0.001461983
Run 34 time 0.001505136
Run 35 time 0.001473188
Run 36 time 0.001444101
Run 37 time 0.001455069
Run 38 time 0.001497030
Run 39 time 0.001490116
Run 40 time 0.001765966
Run 41 time 0.001674175
Run 42 time 0.001441002
Run 43 time 0.001564980
Run 44 time 0.001509905
Run 45 time 0.001476049
Run 46 time 0.001448154
Run 47 time 0.001475096
Run 48 time 0.001494884
Run 49 time 0.001505136
Run 50 time 0.001563072
Run 51 time 0.001488924
Run 52 time 0.001436949
Run 53 time 0.001471043
Run 54 time 0.001461029
Run 55 time 0.001454115
Run 56 time 0.001481056
Run 57 time 0.001410961
Run 58 time 0.001450062
Run 59 time 0.001486063
Run 60 time 0.001439095
Run 61 time 0.001447201
Run 62 time 0.001497984
Run 63 time 0.001444101
Run 64 time 0.001440048
Run 65 time 0.001475811
Run 66 time 0.001488924
Run 67 time 0.001456022
Run 68 time 0.001471996
Run 69 time 0.001466990
Run 70 time 0.001464128
Run 71 time 0.001456022
