reduceScatter_allreduce 8 1048576
Run 1 time 0.004352808
Run 2 time 0.000729084
Run 3 time 0.000610113
Run 4 time 0.000473976
Run 5 time 0.000530005
Run 6 time 0.000591993
Run 7 time 0.000845909
Run 8 time 0.000550985
Run 9 time 0.000639915
Run 10 time 0.000585794
Run 11 time 0.000998974
Run 12 time 0.000874043
Run 13 time 0.000529051
Run 14 time 0.000545025
Run 15 time 0.000666857
Run 16 time 0.000625134
Run 17 time 0.000713110
Run 18 time 0.000643969
Run 19 time 0.000494957
Run 20 time 0.000528097
Run 21 time 0.000623941
Run 22 time 0.000600100
Run 23 time 0.000574112
Run 24 time 0.000895977
Run 25 time 0.000540018
Run 26 time 0.000518084
Run 27 time 0.001232862
Run 28 time 0.001003981
Run 29 time 0.000613213
Run 30 time 0.000637054
Run 31 time 0.000578165
Run 32 time 0.000526905
Run 33 time 0.000451088
Run 34 time 0.000696898
Run 35 time 0.000594139
Run 36 time 0.000650167
Run 37 time 0.000451088
Run 38 time 0.000467062
Run 39 time 0.000623941
Run 40 time 0.000672102
Run 41 time 0.000504017
Run 42 time 0.000547171
Run 43 time 0.000556946
Run 44 time 0.000470877
Run 45 time 0.000456810
Run 46 time 0.000455856
Run 47 time 0.000461102
Run 48 time 0.000508070
Run 49 time 0.000457048
Run 50 time 0.000604868
Run 51 time 0.000719070
Run 52 time 0.000742912
Run 53 time 0.000506878
Run 54 time 0.000957012
Run 55 time 0.000541925
Run 56 time 0.000849009
Run 57 time 0.000844955
Run 58 time 0.001338959
Run 59 time 0.001271009
Run 60 time 0.000732183
Run 61 time 0.000614166
Run 62 time 0.000692129
Run 63 time 0.000653982
Run 64 time 0.000637054
Run 65 time 0.000496149
Run 66 time 0.000551939
Run 67 time 0.000796795
Run 68 time 0.000501156
Run 69 time 0.000458002
Run 70 time 0.000753880
Run 71 time 0.000494957
Run 72 time 0.000607967
Run 73 time 0.000900984
Run 74 time 0.000562906
Run 75 time 0.000509024
Run 76 time 0.000689983
Run 77 time 0.000491142
Run 78 time 0.000622988
Run 79 time 0.000554085
Run 80 time 0.000475883
Run 81 time 0.000672102
Run 82 time 0.000618935
Run 83 time 0.000689030
Run 84 time 0.000746012
Run 85 time 0.000698090
Run 86 time 0.000535965
Run 87 time 0.000557899
Run 88 time 0.000504017
Run 89 time 0.000493050
Run 90 time 0.000761986
Run 91 time 0.001063108
Run 92 time 0.000577927
Run 93 time 0.000593185
Run 94 time 0.000536919
Run 95 time 0.000879049
Run 96 time 0.000565052
Run 97 time 0.000710011
Run 98 time 0.000581026
Run 99 time 0.000546932
Run 100 time 0.000488043
2TreeComplete+Sanders_allreduce 8 1048576 4
Run 1 time 0.011491060
Run 2 time 0.000922918
Run 3 time 0.000849009
Run 4 time 0.000841856
Run 5 time 0.000726938
Run 6 time 0.000874043
Run 7 time 0.000690937
Run 8 time 0.000703096
Run 9 time 0.000810862
Run 10 time 0.000792980
Run 11 time 0.000844002
Run 12 time 0.000765085
Run 13 time 0.000684023
Run 14 time 0.000777960
Run 15 time 0.000983000
Run 16 time 0.000821829
Run 17 time 0.000698090
Run 18 time 0.001172066
Run 19 time 0.000762939
Run 20 time 0.000926971
Run 21 time 0.000756025
Run 22 time 0.000985146
Run 23 time 0.000664949
Run 24 time 0.000800133
Run 25 time 0.000917912
Run 26 time 0.000727892
Run 27 time 0.000743151
Run 28 time 0.000674963
Run 29 time 0.001072168
Run 30 time 0.000864029
Run 31 time 0.000690937
Run 32 time 0.000905991
Run 33 time 0.000641823
Run 34 time 0.000699997
Run 35 time 0.000665188
Run 36 time 0.000646114
Run 37 time 0.000627995
Run 38 time 0.000628948
Run 39 time 0.000656128
Run 40 time 0.000639915
Run 41 time 0.000635147
Run 42 time 0.000659943
Run 43 time 0.001133919
Run 44 time 0.000881910
Run 45 time 0.000725985
Run 46 time 0.000654936
Run 47 time 0.000648975
Run 48 time 0.000649929
Run 49 time 0.000631094
Run 50 time 0.000649929
Run 51 time 0.000629902
Run 52 time 0.000640154
Run 53 time 0.000635147
Run 54 time 0.000658989
Run 55 time 0.000628948
Run 56 time 0.000656128
Run 57 time 0.000636101
Run 58 time 0.000645876
Run 59 time 0.000649929
Run 60 time 0.000636101
Run 61 time 0.000638008
Run 62 time 0.000647068
Run 63 time 0.000648022
Run 64 time 0.000646830
Run 65 time 0.000676870
Run 66 time 0.000639915
Run 67 time 0.000802040
Run 68 time 0.001214981
Run 69 time 0.000777960
