MPI_allreduce 8 1048576
Run 1 time 0.010200977
Run 2 time 0.001196861
Run 3 time 0.000630140
Run 4 time 0.000651836
Run 5 time 0.000753164
Run 6 time 0.000695229
Run 7 time 0.000832081
Run 8 time 0.000828981
Run 9 time 0.000831127
Run 10 time 0.000699043
Run 11 time 0.000752926
Run 12 time 0.000703096
Run 13 time 0.000671148
Run 14 time 0.001091957
Run 15 time 0.000678062
Run 16 time 0.000781059
Run 17 time 0.000802994
Run 18 time 0.000658035
Run 19 time 0.001076937
Run 20 time 0.000977993
Run 21 time 0.000908136
Run 22 time 0.000783920
Run 23 time 0.000713825
Run 24 time 0.000704050
Run 25 time 0.000679970
Run 26 time 0.000635862
Run 27 time 0.000756025
Run 28 time 0.000711203
Run 29 time 0.000781059
Run 30 time 0.000760794
Run 31 time 0.000631094
Run 32 time 0.000805140
Run 33 time 0.000756025
Run 34 time 0.000876904
Run 35 time 0.000716209
Run 36 time 0.000806093
Run 37 time 0.000664949
Run 38 time 0.000632048
Run 39 time 0.000689030
Run 40 time 0.000740051
Run 41 time 0.000635147
Run 42 time 0.000584126
Run 43 time 0.000620127
Run 44 time 0.000578165
Run 45 time 0.000580072
Run 46 time 0.000576019
Run 47 time 0.000576019
Run 48 time 0.000571012
Run 49 time 0.000570059
Run 50 time 0.000581980
Run 51 time 0.000572920
Run 52 time 0.000702858
Run 53 time 0.000761032
Run 54 time 0.000698090
Run 55 time 0.000885010
Run 56 time 0.000652075
Run 57 time 0.000765085
Run 58 time 0.000883102
Run 59 time 0.000588179
Run 60 time 0.000782013
Run 61 time 0.000713110
Run 62 time 0.000731230
Run 63 time 0.000752926
Run 64 time 0.000738859
Run 65 time 0.000880957
Run 66 time 0.000693083
Run 67 time 0.000669956
Run 68 time 0.000596046
Run 69 time 0.000641108
Run 70 time 0.000777960
Run 71 time 0.000863075
Run 72 time 0.000775099
Run 73 time 0.000648975
Run 74 time 0.000719070
Run 75 time 0.000694036
Run 76 time 0.000717878
Run 77 time 0.000767946
Run 78 time 0.000661135
Run 79 time 0.000834942
Run 80 time 0.000684977
Run 81 time 0.000653982
Run 82 time 0.000828981
Run 83 time 0.000669956
Run 84 time 0.000702143
Run 85 time 0.000664949
Run 86 time 0.000670910
Run 87 time 0.000823021
Run 88 time 0.000731230
Run 89 time 0.001029015
Run 90 time 0.000747919
Run 91 time 0.000705004
Run 92 time 0.000798225
Run 93 time 0.000612974
Run 94 time 0.000668049
Run 95 time 0.000709057
Run 96 time 0.000723124
Run 97 time 0.000705004
Run 98 time 0.000638008
Run 99 time 0.000644207
Run 100 time 0.000745058
binomial_allreduce 8 1048576
Run 1 time 0.011296988
Run 2 time 0.001379967
Run 3 time 0.001718998
Run 4 time 0.001454830
Run 5 time 0.001441002
Run 6 time 0.001291037
Run 7 time 0.001350880
Run 8 time 0.001358986
Run 9 time 0.001371145
Run 10 time 0.001295805
Run 11 time 0.001329184
Run 12 time 0.001377821
Run 13 time 0.001341105
Run 14 time 0.001303911
Run 15 time 0.001352072
Run 16 time 0.001430035
Run 17 time 0.001380920
Run 18 time 0.001365900
Run 19 time 0.001312017
Run 20 time 0.001317024
Run 21 time 0.001339912
Run 22 time 0.001362085
Run 23 time 0.001336098
Run 24 time 0.001404047
Run 25 time 0.001398087
Run 26 time 0.001318932
Run 27 time 0.001352072
Run 28 time 0.001276016
Run 29 time 0.001273155
Run 30 time 0.001273155
Run 31 time 0.001272917
Run 32 time 0.001284838
Run 33 time 0.001275063
Run 34 time 0.001271963
Run 35 time 0.001276016
Run 36 time 0.001302958
Run 37 time 0.001275063
Run 38 time 0.001274109
Run 39 time 0.001273155
Run 40 time 0.001273870
Run 41 time 0.001271963
Run 42 time 0.001271009
Run 43 time 0.001273155
Run 44 time 0.001271009
Run 45 time 0.001271009
Run 46 time 0.001269102
Run 47 time 0.001350164
Run 48 time 0.001273155
Run 49 time 0.001271963
Run 50 time 0.001296997
Run 51 time 0.001271963
Run 52 time 0.001271963
Run 53 time 0.001271009
Run 54 time 0.001283169
Run 55 time 0.001273870
Run 56 time 0.001270056
Run 57 time 0.001306057
Run 58 time 0.001323938
Run 59 time 0.001271009
Run 60 time 0.001273155
Run 61 time 0.001271963
Run 62 time 0.001276016
Run 63 time 0.001282930
Run 64 time 0.001273155
Run 65 time 0.001272917
Run 66 time 0.001273870
Run 67 time 0.001273155
Run 68 time 0.001274109
Run 69 time 0.001492977
Run 70 time 0.001274109
Run 71 time 0.001272202
Run 72 time 0.001298904
Run 73 time 0.001296997
Run 74 time 0.001275063
Run 75 time 0.001277924
Run 76 time 0.001272917
Run 77 time 0.001272917
Run 78 time 0.001275063
Run 79 time 0.001367092
Run 80 time 0.001401901
Run 81 time 0.001276016
Run 82 time 0.001272917
Run 83 time 0.001340151
Run 84 time 0.001273870
Run 85 time 0.001273155
