MPI_allreduce 8 524288
Run 1 time 0.012961864
Run 2 time 0.000560045
Run 3 time 0.000677109
Run 4 time 0.000584126
Run 5 time 0.000596046
Run 6 time 0.000941992
Run 7 time 0.000577927
Run 8 time 0.000463009
Run 9 time 0.000669003
Run 10 time 0.000756979
Run 11 time 0.000519991
Run 12 time 0.000496149
Run 13 time 0.000376940
Run 14 time 0.000402927
Run 15 time 0.000400066
Run 16 time 0.000438929
Run 17 time 0.000554085
Run 18 time 0.000413179
Run 19 time 0.000512123
Run 20 time 0.000506878
Run 21 time 0.000616074
Run 22 time 0.000577211
Run 23 time 0.000580072
Run 24 time 0.000421047
Run 25 time 0.000530005
Run 26 time 0.000471115
Run 27 time 0.000559092
Run 28 time 0.000553131
Run 29 time 0.000387907
Run 30 time 0.000470161
Run 31 time 0.000584126
Run 32 time 0.000449181
Run 33 time 0.000406027
Run 34 time 0.000492096
Run 35 time 0.000514984
Run 36 time 0.000514030
Run 37 time 0.000441074
Run 38 time 0.000510931
Run 39 time 0.000417948
Run 40 time 0.000431061
Run 41 time 0.000509024
Run 42 time 0.000482082
Run 43 time 0.000482082
Run 44 time 0.000413895
Run 45 time 0.000432014
Run 46 time 0.000360966
Run 47 time 0.000379086
Run 48 time 0.000348091
Run 49 time 0.000466108
Run 50 time 0.000914097
Run 51 time 0.000375986
Run 52 time 0.000332117
Run 53 time 0.000334024
Run 54 time 0.000320911
Run 55 time 0.000315189
Run 56 time 0.000321150
Run 57 time 0.000315189
Run 58 time 0.000329018
Run 59 time 0.000317097
Run 60 time 0.000322104
Run 61 time 0.000314951
Run 62 time 0.000320196
Run 63 time 0.000313044
Run 64 time 0.000314236
Run 65 time 0.000314951
Run 66 time 0.000431061
Run 67 time 0.000381947
Run 68 time 0.000432968
Run 69 time 0.000478029
Run 70 time 0.000530958
Run 71 time 0.000533104
Run 72 time 0.000526905
Run 73 time 0.000452042
Run 74 time 0.000494003
Run 75 time 0.000447035
Run 76 time 0.000392914
Run 77 time 0.000380993
Run 78 time 0.000337839
Run 79 time 0.000484943
Run 80 time 0.000535011
Run 81 time 0.000494003
Run 82 time 0.000561953
Run 83 time 0.000525951
Run 84 time 0.000530005
Run 85 time 0.000535965
Run 86 time 0.000629187
Run 87 time 0.000603914
Run 88 time 0.000596046
Run 89 time 0.000458956
Run 90 time 0.000685930
Run 91 time 0.000538826
Run 92 time 0.000513077
Run 93 time 0.000596046
Run 94 time 0.000530005
Run 95 time 0.000348091
Run 96 time 0.000319004
Run 97 time 0.000422001
Run 98 time 0.000509977
Run 99 time 0.000452042
Run 100 time 0.000556946
binomial_allreduce 8 524288
Run 1 time 0.009338140
Run 2 time 0.000810146
Run 3 time 0.000846863
Run 4 time 0.000796080
Run 5 time 0.000847101
Run 6 time 0.000872850
Run 7 time 0.000811815
Run 8 time 0.000799894
Run 9 time 0.000899076
Run 10 time 0.000776052
Run 11 time 0.000793934
Run 12 time 0.000708818
Run 13 time 0.000936031
Run 14 time 0.000787020
Run 15 time 0.000802040
Run 16 time 0.000786066
Run 17 time 0.000816107
Run 18 time 0.001013994
Run 19 time 0.000885010
Run 20 time 0.000745058
Run 21 time 0.000782013
Run 22 time 0.000934124
Run 23 time 0.000755072
Run 24 time 0.000775099
Run 25 time 0.000727177
Run 26 time 0.000901937
Run 27 time 0.000941038
Run 28 time 0.000820160
Run 29 time 0.000814915
Run 30 time 0.000807047
Run 31 time 0.000767946
Run 32 time 0.000839949
Run 33 time 0.000857115
Run 34 time 0.000823021
Run 35 time 0.000874996
Run 36 time 0.000842094
Run 37 time 0.000823021
Run 38 time 0.000907898
Run 39 time 0.000883102
Run 40 time 0.000815153
Run 41 time 0.000779867
Run 42 time 0.000743151
Run 43 time 0.000907898
Run 44 time 0.000827074
Run 45 time 0.000802994
Run 46 time 0.000899792
Run 47 time 0.000780821
Run 48 time 0.000802994
Run 49 time 0.000679970
Run 50 time 0.000754118
Run 51 time 0.000859976
Run 52 time 0.000771046
Run 53 time 0.000884056
Run 54 time 0.000833988
Run 55 time 0.000889063
Run 56 time 0.000929832
Run 57 time 0.000795841
Run 58 time 0.000800848
Run 59 time 0.000696182
Run 60 time 0.000673056
Run 61 time 0.000658035
Run 62 time 0.000684023
Run 63 time 0.000656128
Run 64 time 0.000654936
Run 65 time 0.000692129
Run 66 time 0.000738859
Run 67 time 0.000665188
Run 68 time 0.000725031
Run 69 time 0.000654936
Run 70 time 0.000661135
Run 71 time 0.000654936
Run 72 time 0.000653982
Run 73 time 0.000653982
Run 74 time 0.000672102
Run 75 time 0.000678062
Run 76 time 0.000744104
Run 77 time 0.000761032
Run 78 time 0.000829935
Run 79 time 0.000766993
Run 80 time 0.000763178
Run 81 time 0.000797987
Run 82 time 0.000730038
Run 83 time 0.000660896
Run 84 time 0.000653028
Run 85 time 0.000653028
Run 86 time 0.000661135
Run 87 time 0.000697851
Run 88 time 0.000782013
Run 89 time 0.000889063
Run 90 time 0.000840902
Run 91 time 0.000869989
Run 92 time 0.000874996
Run 93 time 0.000775099
Run 94 time 0.000768900
Run 95 time 0.000765085
Run 96 time 0.000793934
Run 97 time 0.000793934
Run 98 time 0.000931025
Run 99 time 0.000650883
Run 100 time 0.000970125
reduceScatter_allreduce 8 524288
Run 1 time 0.004000187
Run 2 time 0.000714064
Run 3 time 0.000391006
Run 4 time 0.000381947
Run 5 time 0.000366926
Run 6 time 0.000379086
Run 7 time 0.000416040
Run 8 time 0.000441074
Run 9 time 0.000484943
Run 10 time 0.000694036
Run 11 time 0.000554085
Run 12 time 0.000412941
Run 13 time 0.000407934
Run 14 time 0.001024008
Run 15 time 0.000418901
Run 16 time 0.000389099
Run 17 time 0.000403166
Run 18 time 0.000357151
Run 19 time 0.000386953
Run 20 time 0.000365019
Run 21 time 0.000472069
Run 22 time 0.000548124
Run 23 time 0.000382900
Run 24 time 0.000348091
Run 25 time 0.000368834
Run 26 time 0.000355005
Run 27 time 0.000375032
Run 28 time 0.000434160
Run 29 time 0.000475883
Run 30 time 0.000384092
Run 31 time 0.000391960
Run 32 time 0.000407934
Run 33 time 0.000413895
Run 34 time 0.000586033
Run 35 time 0.000756025
Run 36 time 0.000509977
Run 37 time 0.000452042
Run 38 time 0.000541210
Run 39 time 0.000383139
Run 40 time 0.000385046
Run 41 time 0.000403881
Run 42 time 0.000437021
Run 43 time 0.000396967
Run 44 time 0.000426054
Run 45 time 0.000517845
Run 46 time 0.000530958
Run 47 time 0.000438929
Run 48 time 0.000695944
Run 49 time 0.000408888
Run 50 time 0.000547171
Run 51 time 0.000578880
Run 52 time 0.000504017
Run 53 time 0.000506163
Run 54 time 0.000505924
Run 55 time 0.000505924
Run 56 time 0.000541925
Run 57 time 0.000604868
Run 58 time 0.000649929
Run 59 time 0.000330925
Run 60 time 0.000642061
Run 61 time 0.000689030
Run 62 time 0.000386000
Run 63 time 0.000596046
Run 64 time 0.000410080
Run 65 time 0.000306129
Run 66 time 0.000475883
Run 67 time 0.000413895
Run 68 time 0.000414848
Run 69 time 0.000460863
Run 70 time 0.000351906
Run 71 time 0.000468016
Run 72 time 0.000372887
Run 73 time 0.000429153
Run 74 time 0.000370026
Run 75 time 0.000634909
Run 76 time 0.000513792
Run 77 time 0.000492096
Run 78 time 0.000530958
Run 79 time 0.000406981
Run 80 time 0.000393152
Run 81 time 0.000425816
Run 82 time 0.000348091
Run 83 time 0.000367880
Run 84 time 0.000432014
Run 85 time 0.000440121
Run 86 time 0.000505209
Run 87 time 0.000398159
Run 88 time 0.000369072
Run 89 time 0.000364065
Run 90 time 0.000283003
Run 91 time 0.000279903
Run 92 time 0.000269890
Run 93 time 0.000268936
Run 94 time 0.000268936
Run 95 time 0.000276089
Run 96 time 0.000271082
Run 97 time 0.000274897
Run 98 time 0.000272036
Run 99 time 0.000276804
Run 100 time 0.000270128
recursiveDoubling_allreduce 8 524288
Run 1 time 0.003742218
Run 2 time 0.000486135
Run 3 time 0.000470161
Run 4 time 0.000473022
Run 5 time 0.000442982
Run 6 time 0.000473976
Run 7 time 0.000452995
Run 8 time 0.000492811
Run 9 time 0.000542164
Run 10 time 0.000473976
Run 11 time 0.000607014
Run 12 time 0.000491142
Run 13 time 0.000447035
Run 14 time 0.000434875
Run 15 time 0.000463009
Run 16 time 0.000457048
Run 17 time 0.000441790
Run 18 time 0.000454903
Run 19 time 0.000441790
Run 20 time 0.000434160
Run 21 time 0.000459909
Run 22 time 0.000477076
Run 23 time 0.000551939
Run 24 time 0.000555038
Run 25 time 0.000526905
Run 26 time 0.000468969
Run 27 time 0.000433922
Run 28 time 0.000467062
Run 29 time 0.000446796
Run 30 time 0.000439167
Run 31 time 0.000437975
Run 32 time 0.000434875
Run 33 time 0.000473022
Run 34 time 0.000447035
Run 35 time 0.000435114
Run 36 time 0.000470161
Run 37 time 0.000528812
Run 38 time 0.000468969
Run 39 time 0.000453949
Run 40 time 0.000472784
Run 41 time 0.000451088
Run 42 time 0.000436068
Run 43 time 0.000437975
Run 44 time 0.000451088
Run 45 time 0.000456095
Run 46 time 0.000445843
Run 47 time 0.000438213
Run 48 time 0.000440121
Run 49 time 0.000440836
Run 50 time 0.000499010
Run 51 time 0.000495911
Run 52 time 0.000519037
Run 53 time 0.000484943
Run 54 time 0.000473022
Run 55 time 0.000452995
Run 56 time 0.000451088
Run 57 time 0.000428200
Run 58 time 0.000439167
Run 59 time 0.000448942
Run 60 time 0.000443935
Run 61 time 0.000433922
Run 62 time 0.000432014
Run 63 time 0.000451088
Run 64 time 0.000476122
Run 65 time 0.000507116
Run 66 time 0.000509977
Run 67 time 0.000564098
Run 68 time 0.000447989
Run 69 time 0.000442028
Run 70 time 0.000437021
Run 71 time 0.000436068
Run 72 time 0.000428915
Run 73 time 0.000434875
Run 74 time 0.000448942
Run 75 time 0.000445127
Run 76 time 0.000447035
Run 77 time 0.000458956
Run 78 time 0.000465870
Run 79 time 0.000511885
Run 80 time 0.000575066
Run 81 time 0.000562906
Run 82 time 0.000533104
Run 83 time 0.000443935
Run 84 time 0.000442982
Run 85 time 0.000432014
Run 86 time 0.000452042
Run 87 time 0.000442028
Run 88 time 0.000432014
Run 89 time 0.000439882
Run 90 time 0.000435114
Run 91 time 0.000437021
Run 92 time 0.000447989
Run 93 time 0.000499010
Run 94 time 0.000548840
Run 95 time 0.000494003
Run 96 time 0.000455141
Run 97 time 0.000490189
Run 98 time 0.000436068
Run 99 time 0.000441074
Run 100 time 0.000437975
2TreeComplete_allreduce 8 524288 2
Run 1 time 0.015897989
Run 2 time 0.000571966
Run 3 time 0.000517130
Run 4 time 0.000611067
Run 5 time 0.000561953
Run 6 time 0.000597000
Run 7 time 0.000610828
Run 8 time 0.000645161
Run 9 time 0.000562906
Run 10 time 0.000675917
Run 11 time 0.000578880
Run 12 time 0.000589132
Run 13 time 0.000690937
Run 14 time 0.000611067
Run 15 time 0.000690937
Run 16 time 0.000550032
Run 17 time 0.000553846
Run 18 time 0.000641823
Run 19 time 0.000617027
Run 20 time 0.000523090
Run 21 time 0.000588894
Run 22 time 0.000586987
Run 23 time 0.000578165
Run 24 time 0.000547886
Run 25 time 0.000581980
Run 26 time 0.000511885
Run 27 time 0.000573158
Run 28 time 0.000651121
Run 29 time 0.000570059
Run 30 time 0.000499010
Run 31 time 0.000566006
Run 32 time 0.000735044
Run 33 time 0.000542164
Run 34 time 0.000556946
Run 35 time 0.000630140
Run 36 time 0.000627995
Run 37 time 0.000586033
Run 38 time 0.000584841
Run 39 time 0.000491142
Run 40 time 0.000526905
Run 41 time 0.000542879
Run 42 time 0.000527143
Run 43 time 0.000586033
Run 44 time 0.000581026
Run 45 time 0.000545979
Run 46 time 0.000591040
Run 47 time 0.000605106
Run 48 time 0.000591993
Run 49 time 0.000597954
Run 50 time 0.000703096
Run 51 time 0.000533819
Run 52 time 0.000453949
Run 53 time 0.000438929
Run 54 time 0.000458956
Run 55 time 0.000458956
Run 56 time 0.000477076
Run 57 time 0.000442028
Run 58 time 0.000439167
Run 59 time 0.000460148
Run 60 time 0.000464201
Run 61 time 0.000547886
Run 62 time 0.000713110
Run 63 time 0.000558138
Run 64 time 0.000538111
Run 65 time 0.000713110
Run 66 time 0.000609159
Run 67 time 0.000545025
Run 68 time 0.000495911
Run 69 time 0.000468016
Run 70 time 0.000453949
Run 71 time 0.000439167
Run 72 time 0.000480175
Run 73 time 0.000479937
Run 74 time 0.000452995
Run 75 time 0.000452995
Run 76 time 0.000472069
Run 77 time 0.000468969
Run 78 time 0.000530958
Run 79 time 0.000557899
Run 80 time 0.000611067
Run 81 time 0.000591040
Run 82 time 0.000542879
Run 83 time 0.000651121
Run 84 time 0.000633955
Run 85 time 0.000631094
Run 86 time 0.000661850
Run 87 time 0.000534058
Run 88 time 0.000519991
Run 89 time 0.000524998
Run 90 time 0.000525951
Run 91 time 0.000608921
Run 92 time 0.000814915
Run 93 time 0.000468969
Run 94 time 0.000549078
Run 95 time 0.000470161
Run 96 time 0.000485182
Run 97 time 0.000455856
Run 98 time 0.000440121
Run 99 time 0.000513077
Run 100 time 0.000463009
2TreeComplete_allreduce2 8 524288 3
Run 1 time 0.008347988
Run 2 time 0.000449896
Run 3 time 0.000447035
Run 4 time 0.000452042
Run 5 time 0.000448942
Run 6 time 0.000450850
Run 7 time 0.000530005
Run 8 time 0.000496149
Run 9 time 0.000533819
Run 10 time 0.000560999
Run 11 time 0.000538111
Run 12 time 0.000453949
Run 13 time 0.000456095
Run 14 time 0.000448942
Run 15 time 0.000426054
Run 16 time 0.000442028
Run 17 time 0.000444174
Run 18 time 0.000441790
Run 19 time 0.000451088
Run 20 time 0.000439882
Run 21 time 0.000443935
Run 22 time 0.000836849
Run 23 time 0.000885963
Run 24 time 0.000509977
Run 25 time 0.001163960
Run 26 time 0.000654936
Run 27 time 0.000468969
Run 28 time 0.000446081
Run 29 time 0.000447989
Run 30 time 0.000442028
Run 31 time 0.000447989
Run 32 time 0.000437975
Run 33 time 0.000443935
Run 34 time 0.000439882
Run 35 time 0.000455856
Run 36 time 0.000442982
Run 37 time 0.000447035
Run 38 time 0.000438929
Run 39 time 0.000440121
Run 40 time 0.000442028
Run 41 time 0.000436068
Run 42 time 0.000440836
Run 43 time 0.000449896
Run 44 time 0.000443935
Run 45 time 0.000445127
Run 46 time 0.000444174
Run 47 time 0.000469923
Run 48 time 0.000505924
Run 49 time 0.000467062
Run 50 time 0.000467062
Run 51 time 0.000494003
Run 52 time 0.000449896
Run 53 time 0.000477076
Run 54 time 0.000435829
Run 55 time 0.000442028
Run 56 time 0.000447035
Run 57 time 0.000442028
Run 58 time 0.000442028
Run 59 time 0.000617981
Run 60 time 0.000566006
Run 61 time 0.000447989
Run 62 time 0.000602007
Run 63 time 0.000720024
Run 64 time 0.000458002
Run 65 time 0.000439882
Run 66 time 0.000447989
Run 67 time 0.000442982
Run 68 time 0.000451088
Run 69 time 0.000447035
Run 70 time 0.000556946
Run 71 time 0.000991106
Run 72 time 0.000731945
Run 73 time 0.000447989
Run 74 time 0.000492811
Run 75 time 0.000665188
Run 76 time 0.000456095
Run 77 time 0.000437975
Run 78 time 0.000439882
Run 79 time 0.000437021
Run 80 time 0.001074076
Run 81 time 0.000988007
Run 82 time 0.000571966
Run 83 time 0.000433922
Run 84 time 0.000435829
Run 85 time 0.000436068
Run 86 time 0.000439882
Run 87 time 0.000422001
Run 88 time 0.000429869
Run 89 time 0.000442982
Run 90 time 0.000578880
Run 91 time 0.000442982
Run 92 time 0.000458002
