MPI_allreduce 8 524288
Run 1 time 0.012232065
Run 2 time 0.000506163
Run 3 time 0.000507116
Run 4 time 0.000443220
Run 5 time 0.000935793
Run 6 time 0.001703024
Run 7 time 0.000652790
Run 8 time 0.000501156
Run 9 time 0.000334978
Run 10 time 0.000396013
Run 11 time 0.000367165
Run 12 time 0.000567913
Run 13 time 0.000391006
Run 14 time 0.000441074
Run 15 time 0.000386000
Run 16 time 0.000443935
Run 17 time 0.000321865
Run 18 time 0.000326157
Run 19 time 0.000348806
Run 20 time 0.000327110
Run 21 time 0.000330925
Run 22 time 0.000427961
Run 23 time 0.000425100
Run 24 time 0.000395060
Run 25 time 0.000631094
Run 26 time 0.000410080
Run 27 time 0.000372171
Run 28 time 0.000420094
Run 29 time 0.000381947
Run 30 time 0.000349045
Run 31 time 0.000344992
Run 32 time 0.000503063
Run 33 time 0.000363111
Run 34 time 0.000412941
Run 35 time 0.000330925
Run 36 time 0.000426054
Run 37 time 0.000329018
Run 38 time 0.000492811
Run 39 time 0.000352144
Run 40 time 0.000371933
Run 41 time 0.000330925
Run 42 time 0.000396013
Run 43 time 0.000777960
Run 44 time 0.000924826
Run 45 time 0.000854969
Run 46 time 0.000813007
Run 47 time 0.003001928
Run 48 time 0.004419088
Run 49 time 0.000468016
Run 50 time 0.000318050
Run 51 time 0.000356913
Run 52 time 0.000383139
Run 53 time 0.000433922
Run 54 time 0.000509977
Run 55 time 0.000368834
Run 56 time 0.000360012
Run 57 time 0.000331163
Run 58 time 0.000535965
Run 59 time 0.000588179
Run 60 time 0.000480890
Run 61 time 0.001202106
Run 62 time 0.001030922
Run 63 time 0.000323057
Run 64 time 0.000321150
Run 65 time 0.000318050
Run 66 time 0.000691891
Run 67 time 0.000776052
Run 68 time 0.000332117
Run 69 time 0.000375032
Run 70 time 0.000533104
Run 71 time 0.000453949
Run 72 time 0.000745058
Run 73 time 0.000339031
Run 74 time 0.001154900
Run 75 time 0.000990868
Run 76 time 0.001039028
Run 77 time 0.000904083
Run 78 time 0.000612020
Run 79 time 0.000320196
Run 80 time 0.000329018
Run 81 time 0.000324965
Run 82 time 0.000307083
Run 83 time 0.000340223
Run 84 time 0.000313044
Run 85 time 0.000312090
Run 86 time 0.000308037
Run 87 time 0.000308990
Run 88 time 0.000299215
Run 89 time 0.000309944
Run 90 time 0.000376940
Run 91 time 0.000463963
Run 92 time 0.000442028
Run 93 time 0.000405073
Run 94 time 0.000660896
Run 95 time 0.000473022
Run 96 time 0.000390053
Run 97 time 0.000426054
Run 98 time 0.000429153
Run 99 time 0.000649929
Run 100 time 0.000648022
binomial_allreduce 8 524288
Run 1 time 0.008994102
Run 2 time 0.000935078
Run 3 time 0.000663996
Run 4 time 0.000676870
Run 5 time 0.000660896
Run 6 time 0.000673056
Run 7 time 0.000662088
Run 8 time 0.000663042
Run 9 time 0.000658989
Run 10 time 0.000677109
Run 11 time 0.000658989
Run 12 time 0.000658989
Run 13 time 0.000656843
Run 14 time 0.000658035
Run 15 time 0.000658035
Run 16 time 0.000658989
Run 17 time 0.000795126
Run 18 time 0.000660896
Run 19 time 0.000658035
Run 20 time 0.000859022
Run 21 time 0.000700951
Run 22 time 0.000741005
Run 23 time 0.000746012
Run 24 time 0.000654936
Run 25 time 0.000655174
Run 26 time 0.000653982
Run 27 time 0.000654936
Run 28 time 0.000655174
Run 29 time 0.000653982
Run 30 time 0.000653982
Run 31 time 0.000653982
Run 32 time 0.000658989
Run 33 time 0.000657082
Run 34 time 0.000656843
Run 35 time 0.000655174
Run 36 time 0.000654936
Run 37 time 0.000652075
Run 38 time 0.000651836
Run 39 time 0.000650883
Run 40 time 0.000664949
Run 41 time 0.000652075
Run 42 time 0.000653028
Run 43 time 0.000703812
Run 44 time 0.000653028
Run 45 time 0.000653028
Run 46 time 0.000651121
Run 47 time 0.000653982
Run 48 time 0.000653028
Run 49 time 0.000653982
Run 50 time 0.000653028
Run 51 time 0.000665903
Run 52 time 0.000651121
Run 53 time 0.000651836
Run 54 time 0.000651121
Run 55 time 0.000652075
Run 56 time 0.000652790
Run 57 time 0.000666857
Run 58 time 0.000690937
Run 59 time 0.000802040
Run 60 time 0.000714064
Run 61 time 0.001218081
Run 62 time 0.000740051
Run 63 time 0.000789165
Run 64 time 0.000652075
Run 65 time 0.000705004
Run 66 time 0.000697136
Run 67 time 0.000654936
Run 68 time 0.000709057
Run 69 time 0.000664949
Run 70 time 0.000649929
Run 71 time 0.000649929
Run 72 time 0.000679016
Run 73 time 0.000650883
Run 74 time 0.000651121
Run 75 time 0.000655890
Run 76 time 0.000651121
Run 77 time 0.000650883
Run 78 time 0.000653028
Run 79 time 0.000652075
Run 80 time 0.000821114
Run 81 time 0.000836134
Run 82 time 0.000894070
Run 83 time 0.000751972
Run 84 time 0.000650167
Run 85 time 0.000651121
Run 86 time 0.000649929
Run 87 time 0.000650883
Run 88 time 0.000651121
Run 89 time 0.000651836
Run 90 time 0.000808001
Run 91 time 0.000761032
Run 92 time 0.000792980
Run 93 time 0.000782013
Run 94 time 0.000868082
Run 95 time 0.000653982
Run 96 time 0.000650883
Run 97 time 0.000651121
Run 98 time 0.000649929
Run 99 time 0.000649929
Run 100 time 0.000725031
reduceScatter_allreduce 8 524288
Run 1 time 0.004385948
Run 2 time 0.000277996
Run 3 time 0.000282049
Run 4 time 0.000284910
Run 5 time 0.000288010
Run 6 time 0.000283957
Run 7 time 0.000274181
Run 8 time 0.000308037
Run 9 time 0.000287056
Run 10 time 0.000303030
Run 11 time 0.000322104
Run 12 time 0.000653028
Run 13 time 0.000688076
Run 14 time 0.001061916
Run 15 time 0.000984907
Run 16 time 0.000464916
Run 17 time 0.000741005
Run 18 time 0.000498056
Run 19 time 0.000280857
Run 20 time 0.000266075
Run 21 time 0.000277042
Run 22 time 0.000288010
Run 23 time 0.000309944
Run 24 time 0.000273943
Run 25 time 0.000296116
Run 26 time 0.000276804
Run 27 time 0.000268936
Run 28 time 0.000275135
Run 29 time 0.000290155
Run 30 time 0.000272989
Run 31 time 0.000280142
Run 32 time 0.000272989
Run 33 time 0.000267029
Run 34 time 0.000279903
Run 35 time 0.000281096
Run 36 time 0.000273943
Run 37 time 0.000282049
Run 38 time 0.000422001
Run 39 time 0.000294209
Run 40 time 0.000686169
Run 41 time 0.000361919
Run 42 time 0.000454903
Run 43 time 0.001013041
Run 44 time 0.000545979
Run 45 time 0.000397921
Run 46 time 0.000931978
Run 47 time 0.000270844
Run 48 time 0.000385046
Run 49 time 0.000262976
Run 50 time 0.000547886
Run 51 time 0.000268936
