MPI_bcast 8 524288
Run 1 time 0.013279915
Run 2 time 0.000255108
Run 3 time 0.000247002
Run 4 time 0.000246048
Run 5 time 0.000246048
Run 6 time 0.000246048
Run 7 time 0.000255108
Run 8 time 0.000247002
Run 9 time 0.000246048
Run 10 time 0.000246048
Run 11 time 0.000246763
Run 12 time 0.000787973
Run 13 time 0.000447989
Run 14 time 0.000833035
Run 15 time 0.000273943
Run 16 time 0.000404835
Run 17 time 0.000304937
Run 18 time 0.000246048
Run 19 time 0.000292778
Run 20 time 0.000242949
Run 21 time 0.000267982
Run 22 time 0.000245094
Run 23 time 0.000291824
Run 24 time 0.000264168
Run 25 time 0.000251055
Run 26 time 0.000360966
Run 27 time 0.000321865
Run 28 time 0.000612020
Run 29 time 0.000792980
Run 30 time 0.000591040
Run 31 time 0.000483036
Run 32 time 0.000402927
Run 33 time 0.000518799
Run 34 time 0.000372171
Run 35 time 0.000458002
Run 36 time 0.000390053
Run 37 time 0.000321865
Run 38 time 0.000254154
Run 39 time 0.000254154
Run 40 time 0.000295162
Run 41 time 0.000282049
Run 42 time 0.000267029
Run 43 time 0.000249863
Run 44 time 0.000258923
Run 45 time 0.000272989
Run 46 time 0.000250101
Run 47 time 0.000252008
Run 48 time 0.000247955
Run 49 time 0.000273943
Run 50 time 0.000254154
Run 51 time 0.000246048
Run 52 time 0.000289917
Run 53 time 0.000317097
Run 54 time 0.000267982
Run 55 time 0.000288963
Run 56 time 0.000253916
Run 57 time 0.000290155
Run 58 time 0.000290871
Run 59 time 0.000250101
Run 60 time 0.000288010
Run 61 time 0.000286102
Run 62 time 0.000289917
Run 63 time 0.000352859
Run 64 time 0.000295162
Run 65 time 0.000264168
Run 66 time 0.000259876
Run 67 time 0.000278950
Run 68 time 0.000298023
Run 69 time 0.000276804
Run 70 time 0.000293016
Run 71 time 0.000262976
Run 72 time 0.000246048
Run 73 time 0.000282049
Run 74 time 0.000284195
Run 75 time 0.000246048
Run 76 time 0.000242949
Run 77 time 0.000243902
Run 78 time 0.000247002
Run 79 time 0.000279903
Run 80 time 0.000247002
Run 81 time 0.000247955
Run 82 time 0.000272036
Run 83 time 0.000266075
Run 84 time 0.000268936
Run 85 time 0.000269890
Run 86 time 0.000245094
Run 87 time 0.000243902
Run 88 time 0.000247002
Run 89 time 0.000243902
Run 90 time 0.000254869
Run 91 time 0.000245094
Run 92 time 0.000245094
Run 93 time 0.000257015
Run 94 time 0.000260830
Run 95 time 0.000261068
Run 96 time 0.000285864
Run 97 time 0.000288963
Run 98 time 0.000277996
Run 99 time 0.000311852
Run 100 time 0.000633955
binomial_bcast 8 524288
Run 1 time 0.233466148
Run 2 time 0.000513077
Run 3 time 0.000596046
Run 4 time 0.000604153
Run 5 time 0.000607967
Run 6 time 0.000511169
Run 7 time 0.001027107
Run 8 time 0.000599861
Run 9 time 0.000330210
Run 10 time 0.000391960
Run 11 time 0.000376940
Run 12 time 0.000333786
Run 13 time 0.000336170
Run 14 time 0.000342846
Run 15 time 0.000339985
Run 16 time 0.000405073
Run 17 time 0.029342890
Run 18 time 0.000342131
Run 19 time 0.000370026
Run 20 time 0.000344038
Run 21 time 0.000550032
Run 22 time 0.000815153
Run 23 time 0.000547171
Run 24 time 0.000548124
Run 25 time 0.000569105
Run 26 time 0.000392914
Run 27 time 0.000434160
Run 28 time 0.000391006
Run 29 time 0.000373840
Run 30 time 0.000378132
Run 31 time 0.000378847
Run 32 time 0.000359058
Run 33 time 0.000423908
Run 34 time 0.000358105
Run 35 time 0.000363111
Run 36 time 0.000353098
Run 37 time 0.000549078
Run 38 time 0.000448942
Run 39 time 0.000644922
Run 40 time 0.000932217
Run 41 time 0.000767946
Run 42 time 0.000380993
Run 43 time 0.000334024
Run 44 time 0.000453949
Run 45 time 0.000336170
Run 46 time 0.000333786
Run 47 time 0.000334024
Run 48 time 0.000757933
Run 49 time 0.000340939
Run 50 time 0.000406027
Run 51 time 0.000344038
Run 52 time 0.000452995
Run 53 time 0.000339985
Run 54 time 0.000380993
Run 55 time 0.000468016
Run 56 time 0.001209974
Run 57 time 0.000380039
Run 58 time 0.000379086
Run 59 time 0.000329018
Run 60 time 0.000361919
Run 61 time 0.000351191
Run 62 time 0.000344992
Run 63 time 0.000384092
Run 64 time 0.000421047
Run 65 time 0.000439882
Run 66 time 0.001031876
Run 67 time 0.001184940
Run 68 time 0.000520945
Run 69 time 0.000717878
Run 70 time 0.000472069
Run 71 time 0.000443935
Run 72 time 0.000365019
Run 73 time 0.000348806
Run 74 time 0.000349998
Run 75 time 0.000393867
Run 76 time 0.000317097
Run 77 time 0.000399113
Run 78 time 0.000339031
Run 79 time 0.000380039
Run 80 time 0.000348091
Run 81 time 0.000427961
Run 82 time 0.000352859
Run 83 time 0.000442028
Run 84 time 0.000910997
Run 85 time 0.001165867
Run 86 time 0.000452042
Run 87 time 0.000488997
Run 88 time 0.000399828
Run 89 time 0.000344992
Run 90 time 0.000424862
Run 91 time 0.000337124
Run 92 time 0.000344038
Run 93 time 0.000354052
Run 94 time 0.000546932
Run 95 time 0.000728846
Run 96 time 0.001026869
Run 97 time 0.000570059
Run 98 time 0.000353098
Run 99 time 0.000389099
Run 100 time 0.000795841
linear_bcast 8 524288 5
Run 1 time 0.028862000
Run 2 time 0.000262022
Run 3 time 0.000251055
Run 4 time 0.000211000
Run 5 time 0.000535965
Run 6 time 0.000412941
Run 7 time 0.000538111
Run 8 time 0.000537872
Run 9 time 0.000278950
Run 10 time 0.000768185
Run 11 time 0.000420094
Run 12 time 0.000357151
Run 13 time 0.000267982
Run 14 time 0.000470161
Run 15 time 0.000274897
Run 16 time 0.000249863
