MPI_reduce 8 5242880
Run 1 time 0.012953997
Run 2 time 0.002628803
Run 3 time 0.002614975
Run 4 time 0.002616167
Run 5 time 0.002609968
Run 6 time 0.002614975
Run 7 time 0.002606869
Run 8 time 0.002613068
Run 9 time 0.002717972
Run 10 time 0.002604008
Run 11 time 0.002623081
Run 12 time 0.002614021
Run 13 time 0.002620935
Run 14 time 0.002630949
Run 15 time 0.002756119
Run 16 time 0.002609015
Run 17 time 0.002645969
Run 18 time 0.002640009
Run 19 time 0.002616882
Run 20 time 0.002610922
Run 21 time 0.002667189
Run 22 time 0.002618074
Run 23 time 0.002608061
Run 24 time 0.002615929
Run 25 time 0.002603054
Run 26 time 0.002610922
Run 27 time 0.002617836
Run 28 time 0.002615929
Run 29 time 0.002616882
Run 30 time 0.002601862
Run 31 time 0.002617121
Run 32 time 0.002613783
Run 33 time 0.002629995
Run 34 time 0.002618074
Run 35 time 0.002608061
Run 36 time 0.002608061
Run 37 time 0.002617121
Run 38 time 0.002613068
Run 39 time 0.002617121
Run 40 time 0.002613068
Run 41 time 0.002610207
Run 42 time 0.002606153
Run 43 time 0.002709866
Run 44 time 0.002696991
Run 45 time 0.002641201
Run 46 time 0.002615929
Run 47 time 0.002613783
Run 48 time 0.002614975
Run 49 time 0.002609015
Run 50 time 0.002610922
Run 51 time 0.002603054
Run 52 time 0.002604961
Run 53 time 0.002632856
Run 54 time 0.002620935
Run 55 time 0.002660990
Run 56 time 0.002604961
Run 57 time 0.002610922
Run 58 time 0.002629042
Run 59 time 0.002616167
Run 60 time 0.002607822
Run 61 time 0.002746105
Run 62 time 0.002604961
Run 63 time 0.002618074
Run 64 time 0.002636909
Run 65 time 0.002619982
Run 66 time 0.002737045
Run 67 time 0.002619982
Run 68 time 0.002620220
Run 69 time 0.002604008
Run 70 time 0.002661943
Run 71 time 0.002610207
Run 72 time 0.002616882
Run 73 time 0.002604008
Run 74 time 0.002614021
Run 75 time 0.002608061
Run 76 time 0.002855062
Run 77 time 0.002628088
Run 78 time 0.002613783
Run 79 time 0.002615929
Run 80 time 0.002709866
Run 81 time 0.002623081
Run 82 time 0.002615929
Run 83 time 0.002631903
Run 84 time 0.002624989
Run 85 time 0.002615929
Run 86 time 0.002619982
Run 87 time 0.002609015
Run 88 time 0.002830029
Run 89 time 0.002614975
Run 90 time 0.002614021
Run 91 time 0.002619982
Run 92 time 0.002618074
Run 93 time 0.002707958
Run 94 time 0.002616882
Run 95 time 0.002611876
Run 96 time 0.002624989
Run 97 time 0.002608776
Run 98 time 0.002616882
Run 99 time 0.002654076
Run 100 time 0.002839088
binomial_reduce 8 5242880
Run 1 time 0.014210939
Run 2 time 0.003518105
Run 3 time 0.003331900
Run 4 time 0.003324986
Run 5 time 0.003329992
Run 6 time 0.003333807
Run 7 time 0.003459930
Run 8 time 0.003418922
Run 9 time 0.003373861
Run 10 time 0.003331900
Run 11 time 0.003334045
Run 12 time 0.003679037
Run 13 time 0.003345013
Run 14 time 0.003358126
Run 15 time 0.003464222
Run 16 time 0.003379107
Run 17 time 0.003340006
Run 18 time 0.003406048
Run 19 time 0.003388882
Run 20 time 0.003340960
Run 21 time 0.003484011
Run 22 time 0.003350973
Run 23 time 0.003319979
Run 24 time 0.003328085
Run 25 time 0.003334999
Run 26 time 0.003433943
Run 27 time 0.003326893
Run 28 time 0.003386974
Run 29 time 0.003388882
Run 30 time 0.003127098
Run 31 time 0.003393888
Run 32 time 0.003349781
Run 33 time 0.003418922
Run 34 time 0.003352880
Run 35 time 0.003340006
Run 36 time 0.003330946
Run 37 time 0.003342152
Run 38 time 0.003427982
Run 39 time 0.003355026
Run 40 time 0.003372908
Run 41 time 0.003356934
Run 42 time 0.003324986
Run 43 time 0.003334045
Run 44 time 0.003341913
Run 45 time 0.003499985
Run 46 time 0.003389120
Run 47 time 0.003408194
Run 48 time 0.003360987
Run 49 time 0.003329039
Run 50 time 0.003350019
Run 51 time 0.003391981
Run 52 time 0.003343821
Run 53 time 0.003360033
Run 54 time 0.003359079
Run 55 time 0.003355980
Run 56 time 0.003322124
Run 57 time 0.003340960
Run 58 time 0.003321171
Run 59 time 0.003320932
Run 60 time 0.003369093
Run 61 time 0.003643990
Run 62 time 0.003329992
Run 63 time 0.003328085
Run 64 time 0.003348827
Run 65 time 0.003329039
Run 66 time 0.003427029
Run 67 time 0.003330946
Run 68 time 0.003319979
Run 69 time 0.003319025
Run 70 time 0.003334999
Run 71 time 0.003478050
Run 72 time 0.003421068
Run 73 time 0.003333092
Run 74 time 0.003362179
Run 75 time 0.003322124
Run 76 time 0.003326178
Run 77 time 0.003351927
Run 78 time 0.003365993
Run 79 time 0.003323793
Run 80 time 0.003324986
Run 81 time 0.003335953
Run 82 time 0.003329992
Run 83 time 0.003329039
Run 84 time 0.003325939
Run 85 time 0.003360987
Run 86 time 0.003331900
Run 87 time 0.003385067
Run 88 time 0.003390074
Run 89 time 0.003334999
Run 90 time 0.003391981
Run 91 time 0.003333092
Run 92 time 0.003333092
Run 93 time 0.003456831
Run 94 time 0.003324986
Run 95 time 0.003334999
Run 96 time 0.003340960
Run 97 time 0.003331900
Run 98 time 0.003336906
Run 99 time 0.003494024
Run 100 time 0.003334045
reduceScatter_reduce 8 5242880
Run 1 time 0.011507034
Run 2 time 0.005163908
Run 3 time 0.005116940
Run 4 time 0.005017042
Run 5 time 0.004962921
Run 6 time 0.004869938
Run 7 time 0.004925013
Run 8 time 0.004892826
Run 9 time 0.004904032
Run 10 time 0.004897118
Run 11 time 0.004878998
Run 12 time 0.004904032
Run 13 time 0.004913092
Run 14 time 0.004967928
Run 15 time 0.004879951
Run 16 time 0.004897833
Run 17 time 0.004897118
Run 18 time 0.004832983
Run 19 time 0.004895926
Run 20 time 0.004875898
Run 21 time 0.004893064
Run 22 time 0.004878998
Run 23 time 0.004920959
Run 24 time 0.004915953
Run 25 time 0.004887819
Run 26 time 0.004890919
Run 27 time 0.005297899
Run 28 time 0.005000114
Run 29 time 0.004888058
Run 30 time 0.005051851
Run 31 time 0.004894018
Run 32 time 0.005503893
Run 33 time 0.004885912
Run 34 time 0.004916906
Run 35 time 0.004810095
Run 36 time 0.005145788
Run 37 time 0.004872084
Run 38 time 0.004921913
Run 39 time 0.004810095
Run 40 time 0.004884005
Run 41 time 0.004878044
Run 42 time 0.004894018
Run 43 time 0.004889011
Run 44 time 0.004924059
Run 45 time 0.004904985
Run 46 time 0.004823923
Run 47 time 0.004889011
Run 48 time 0.004886150
Run 49 time 0.004935026
Run 50 time 0.004889011
Run 51 time 0.004836082
Run 52 time 0.004884958
Run 53 time 0.006767988
Run 54 time 0.004886866
Run 55 time 0.004826784
Run 56 time 0.004880905
Run 57 time 0.004889011
Run 58 time 0.004894972
Run 59 time 0.004832029
Run 60 time 0.004819870
Run 61 time 0.004876852
Run 62 time 0.005383015
Run 63 time 0.004890919
Run 64 time 0.004891872
Run 65 time 0.005001068
Run 66 time 0.004873037
Run 67 time 0.004884005
Run 68 time 0.004879951
Run 69 time 0.004906178
Run 70 time 0.004940033
Run 71 time 0.004886866
Run 72 time 0.004822969
Run 73 time 0.004974127
Run 74 time 0.004818201
Run 75 time 0.004961967
Run 76 time 0.004817963
Run 77 time 0.004892111
Run 78 time 0.004816055
Run 79 time 0.004902124
Run 80 time 0.005098104
Run 81 time 0.005171061
Run 82 time 0.004800797
Run 83 time 0.004982948
Run 84 time 0.005069017
Run 85 time 0.004873037
Run 86 time 0.005233049
Run 87 time 0.004956961
Run 88 time 0.004909992
Run 89 time 0.004812002
Run 90 time 0.004879951
Run 91 time 0.004806995
Run 92 time 0.004874945
Run 93 time 0.004899979
Run 94 time 0.005173922
Run 95 time 0.004847050
Run 96 time 0.004878044
Run 97 time 0.004822969
Run 98 time 0.004885912
Run 99 time 0.004921198
Run 100 time 0.004883051
2TreeComplete_reduce 8 5242880 19
Run 1 time 0.013413906
Run 2 time 0.001813173
Run 3 time 0.001667023
Run 4 time 0.001695871
Run 5 time 0.001679897
Run 6 time 0.001724005
Run 7 time 0.001677990
Run 8 time 0.001657963
Run 9 time 0.001772165
Run 10 time 0.001585007
