MPI_reduce 8 524288
Run 1 time 0.019098043
Run 2 time 0.000409126
Run 3 time 0.000912905
Run 4 time 0.000445127
Run 5 time 0.000335932
Run 6 time 0.000399113
Run 7 time 0.000488043
Run 8 time 0.000346899
Run 9 time 0.000411987
Run 10 time 0.000332832
Run 11 time 0.000300884
Run 12 time 0.000391006
Run 13 time 0.000298023
Run 14 time 0.000300884
Run 15 time 0.000429869
Run 16 time 0.000324011
Run 17 time 0.000437975
Run 18 time 0.000397921
Run 19 time 0.000427008
Run 20 time 0.000326872
Run 21 time 0.000311852
Run 22 time 0.000319958
Run 23 time 0.000306129
Run 24 time 0.000298977
Run 25 time 0.000367165
Run 26 time 0.000329018
Run 27 time 0.000334024
Run 28 time 0.000461102
Run 29 time 0.000400782
Run 30 time 0.000319004
Run 31 time 0.000297070
Run 32 time 0.000404119
Run 33 time 0.000373125
Run 34 time 0.000298977
Run 35 time 0.000313044
Run 36 time 0.000311852
Run 37 time 0.000307083
Run 38 time 0.000371933
Run 39 time 0.000428915
Run 40 time 0.000300884
Run 41 time 0.000323057
Run 42 time 0.000308990
Run 43 time 0.000298023
Run 44 time 0.000297070
Run 45 time 0.000298977
Run 46 time 0.000303984
Run 47 time 0.000303984
Run 48 time 0.000317097
Run 49 time 0.000335932
Run 50 time 0.000301123
Run 51 time 0.000297070
Run 52 time 0.000308037
Run 53 time 0.000306845
Run 54 time 0.000298977
Run 55 time 0.000304937
Run 56 time 0.000368118
Run 57 time 0.000301123
Run 58 time 0.000303030
Run 59 time 0.000318050
Run 60 time 0.000299215
Run 61 time 0.000304937
Run 62 time 0.000302076
Run 63 time 0.000297070
Run 64 time 0.000322819
Run 65 time 0.000406027
Run 66 time 0.000355005
Run 67 time 0.000326157
Run 68 time 0.000523806
Run 69 time 0.000350952
Run 70 time 0.000347853
Run 71 time 0.000310898
Run 72 time 0.000377893
Run 73 time 0.000391960
Run 74 time 0.000319004
Run 75 time 0.000323057
Run 76 time 0.000298023
Run 77 time 0.000306845
Run 78 time 0.000372887
Run 79 time 0.000349045
Run 80 time 0.000511885
Run 81 time 0.000323057
Run 82 time 0.000334024
Run 83 time 0.000388861
Run 84 time 0.000347137
Run 85 time 0.000349998
Run 86 time 0.000301123
Run 87 time 0.000322104
Run 88 time 0.000317097
Run 89 time 0.000349998
Run 90 time 0.000319004
Run 91 time 0.000391960
Run 92 time 0.000364065
Run 93 time 0.000545025
Run 94 time 0.000504971
Run 95 time 0.000419140
Run 96 time 0.000303030
Run 97 time 0.000612974
Run 98 time 0.000323057
Run 99 time 0.000303030
Run 100 time 0.000315905
binomial_reduce 8 524288
Run 1 time 0.005959988
Run 2 time 0.000786066
Run 3 time 0.000355959
Run 4 time 0.000391006
Run 5 time 0.000360012
Run 6 time 0.000319958
Run 7 time 0.000322819
Run 8 time 0.000319958
Run 9 time 0.000322104
Run 10 time 0.000321150
Run 11 time 0.000321150
Run 12 time 0.000320196
Run 13 time 0.000321150
Run 14 time 0.000319004
Run 15 time 0.000318050
Run 16 time 0.000322819
Run 17 time 0.000320911
Run 18 time 0.000319004
Run 19 time 0.000320911
Run 20 time 0.000319004
Run 21 time 0.000319958
Run 22 time 0.000321150
Run 23 time 0.000321150
Run 24 time 0.000319958
Run 25 time 0.000319958
Run 26 time 0.000319958
Run 27 time 0.000324965
Run 28 time 0.000319004
Run 29 time 0.000320911
Run 30 time 0.000320911
Run 31 time 0.000320911
Run 32 time 0.000319004
Run 33 time 0.000322104
Run 34 time 0.000335932
Run 35 time 0.000318050
Run 36 time 0.000319958
Run 37 time 0.000320911
Run 38 time 0.000316858
Run 39 time 0.000319958
Run 40 time 0.000318050
Run 41 time 0.000321150
Run 42 time 0.000319004
Run 43 time 0.000319958
Run 44 time 0.000319004
Run 45 time 0.000319958
Run 46 time 0.000319958
Run 47 time 0.000319004
Run 48 time 0.000319958
Run 49 time 0.000320911
Run 50 time 0.000341892
Run 51 time 0.000360012
Run 52 time 0.000334978
Run 53 time 0.000674009
Run 54 time 0.000319958
Run 55 time 0.000886917
Run 56 time 0.000885963
Run 57 time 0.000713110
Run 58 time 0.000781059
Run 59 time 0.000499964
Run 60 time 0.000411987
Run 61 time 0.000344038
Run 62 time 0.000319004
Run 63 time 0.000319004
Run 64 time 0.000318050
Run 65 time 0.000319958
Run 66 time 0.000318050
Run 67 time 0.000320196
Run 68 time 0.000319004
Run 69 time 0.000319958
Run 70 time 0.000318050
Run 71 time 0.000319004
Run 72 time 0.000317097
Run 73 time 0.000317812
Run 74 time 0.000318050
Run 75 time 0.000319004
Run 76 time 0.000319004
Run 77 time 0.000320911
Run 78 time 0.000325918
Run 79 time 0.000319004
Run 80 time 0.000319004
Run 81 time 0.000320911
Run 82 time 0.000318050
Run 83 time 0.000323057
Run 84 time 0.000316858
Run 85 time 0.000319958
Run 86 time 0.000318050
Run 87 time 0.000322104
Run 88 time 0.000320911
Run 89 time 0.000320911
Run 90 time 0.000316858
Run 91 time 0.000319958
Run 92 time 0.000318050
Run 93 time 0.000401020
Run 94 time 0.000319958
Run 95 time 0.000332117
Run 96 time 0.000345945
Run 97 time 0.000319004
Run 98 time 0.000345945
Run 99 time 0.000356913
Run 100 time 0.000319958
reduceScatter_reduce 8 524288
Run 1 time 0.005426884
Run 2 time 0.000238895
Run 3 time 0.000232935
Run 4 time 0.000239134
Run 5 time 0.000237942
Run 6 time 0.000240088
Run 7 time 0.000234127
Run 8 time 0.000236988
Run 9 time 0.000241995
Run 10 time 0.000296116
Run 11 time 0.000283003
Run 12 time 0.000341892
Run 13 time 0.000330925
Run 14 time 0.000269890
Run 15 time 0.000283957
Run 16 time 0.000525951
Run 17 time 0.000394106
Run 18 time 0.000383854
Run 19 time 0.000412941
Run 20 time 0.000687122
Run 21 time 0.000575066
Run 22 time 0.000375032
Run 23 time 0.000262022
Run 24 time 0.000344992
Run 25 time 0.000591040
Run 26 time 0.000239134
Run 27 time 0.000239134
Run 28 time 0.000277996
Run 29 time 0.000298023
Run 30 time 0.000342131
Run 31 time 0.000247955
Run 32 time 0.000260115
Run 33 time 0.000300169
Run 34 time 0.000318050
Run 35 time 0.000312090
Run 36 time 0.000302792
Run 37 time 0.000255823
Run 38 time 0.000396013
Run 39 time 0.000375986
Run 40 time 0.000339985
Run 41 time 0.000272036
Run 42 time 0.000355005
Run 43 time 0.000245094
Run 44 time 0.000296116
Run 45 time 0.000310898
Run 46 time 0.000288010
Run 47 time 0.000365019
Run 48 time 0.000246048
Run 49 time 0.000226974
Run 50 time 0.000292063
Run 51 time 0.000314951
Run 52 time 0.000375032
Run 53 time 0.000229120
Run 54 time 0.000233889
Run 55 time 0.000277042
Run 56 time 0.000277996
Run 57 time 0.000295877
Run 58 time 0.000288010
Run 59 time 0.000267982
Run 60 time 0.000229120
Run 61 time 0.000228882
Run 62 time 0.000687122
Run 63 time 0.000298023
Run 64 time 0.000329018
Run 65 time 0.000627041
Run 66 time 0.000609159
Run 67 time 0.000522852
Run 68 time 0.000345945
Run 69 time 0.000375986
Run 70 time 0.000366926
Run 71 time 0.000314951
Run 72 time 0.000328064
Run 73 time 0.000251055
Run 74 time 0.000305891
Run 75 time 0.000411987
Run 76 time 0.000363827
Run 77 time 0.000681162
Run 78 time 0.000458956
Run 79 time 0.000406027
Run 80 time 0.000498056
Run 81 time 0.000390053
Run 82 time 0.000329971
Run 83 time 0.000292063
Run 84 time 0.000256062
Run 85 time 0.000232935
Run 86 time 0.000380993
Run 87 time 0.000516891
Run 88 time 0.000380039
Run 89 time 0.000244141
