MPI_reduce 8 1048576
Run 1 time 0.019788980
Run 2 time 0.000688076
Run 3 time 0.000559092
Run 4 time 0.000565052
Run 5 time 0.000574827
Run 6 time 0.000556946
Run 7 time 0.000566006
Run 8 time 0.000560045
Run 9 time 0.000558853
Run 10 time 0.000559092
Run 11 time 0.000564098
Run 12 time 0.000563145
Run 13 time 0.000560045
Run 14 time 0.000560999
Run 15 time 0.000560045
Run 16 time 0.000561953
Run 17 time 0.000560045
Run 18 time 0.000559092
Run 19 time 0.000584126
Run 20 time 0.000560999
Run 21 time 0.000557899
Run 22 time 0.000575066
Run 23 time 0.000557899
Run 24 time 0.000550985
Run 25 time 0.000549078
Run 26 time 0.000576973
Run 27 time 0.000560045
Run 28 time 0.000653982
Run 29 time 0.000604868
Run 30 time 0.000701904
Run 31 time 0.000552893
Run 32 time 0.000556946
Run 33 time 0.000565052
Run 34 time 0.000550032
Run 35 time 0.000560999
Run 36 time 0.000557899
Run 37 time 0.000554800
Run 38 time 0.000560999
Run 39 time 0.000556946
Run 40 time 0.000561953
Run 41 time 0.000547886
Run 42 time 0.000545979
Run 43 time 0.000624180
Run 44 time 0.001219034
Run 45 time 0.000573158
Run 46 time 0.000553131
Run 47 time 0.000545025
Run 48 time 0.000547886
Run 49 time 0.000548840
Run 50 time 0.000551939
Run 51 time 0.000546932
Run 52 time 0.000552177
Run 53 time 0.000558138
Run 54 time 0.000550985
Run 55 time 0.000586987
Run 56 time 0.000553131
Run 57 time 0.000544071
Run 58 time 0.000542164
Run 59 time 0.000541925
Run 60 time 0.000540972
Run 61 time 0.000543118
Run 62 time 0.000591040
Run 63 time 0.000543118
Run 64 time 0.000545025
Run 65 time 0.000543118
Run 66 time 0.000660181
Run 67 time 0.000546932
Run 68 time 0.000671864
Run 69 time 0.000922918
Run 70 time 0.000541925
Run 71 time 0.000545979
Run 72 time 0.000544071
Run 73 time 0.000750780
Run 74 time 0.000761032
Run 75 time 0.000548124
Run 76 time 0.000545025
Run 77 time 0.000545025
Run 78 time 0.000549078
Run 79 time 0.000545025
Run 80 time 0.000545025
Run 81 time 0.000545025
Run 82 time 0.000540018
Run 83 time 0.000540972
Run 84 time 0.000542164
Run 85 time 0.000549078
Run 86 time 0.000550032
Run 87 time 0.000545025
Run 88 time 0.000554085
Run 89 time 0.000545979
Run 90 time 0.000542879
Run 91 time 0.000551939
Run 92 time 0.000540972
Run 93 time 0.000538111
Run 94 time 0.000538111
Run 95 time 0.000547171
Run 96 time 0.000543118
Run 97 time 0.000538111
Run 98 time 0.000611067
Run 99 time 0.000780106
Run 100 time 0.000538111
binomial_reduce 8 1048576
Run 1 time 0.007095814
Run 2 time 0.000708103
Run 3 time 0.000684977
Run 4 time 0.000657082
Run 5 time 0.000659943
Run 6 time 0.000679970
Run 7 time 0.000673771
Run 8 time 0.000658989
Run 9 time 0.000811100
Run 10 time 0.000657082
Run 11 time 0.000654936
Run 12 time 0.000665903
Run 13 time 0.000656128
Run 14 time 0.000898123
Run 15 time 0.000674009
Run 16 time 0.000664949
Run 17 time 0.000668049
Run 18 time 0.000651836
Run 19 time 0.000651121
Run 20 time 0.000651121
Run 21 time 0.000652790
Run 22 time 0.000653028
Run 23 time 0.000771999
